directors,Number of Records
0,1
Kirsten Johnson,1
Julien Leclercq,1
Mike Flanagan,1
Robert Cullen,1
Haile Gerima,1
Andy Devonshire,1
Theodore Melfi,1
Kongkiat Komesiri,1
Christian Schwochow,1
Bruno Garotti,1
Pedro de Echave García,1
Adam Salky,1
Olivier Megaton,1
K.S. Ravikumar,1
Alex Woo,1
S. Shankar,1
Rajiv Menon,1
Dennis Dugan,1
Scott Stewart,1
Robert Luketic,1
Ashwiny Iyer Tiwari,1
Daniel Sandu,1
Cédric Jimenez,1
George Nolfi,1
Steven Spielberg,1
Jeannot Szwarc,1
Joe Alves,1
Joseph Sargent,1
Tyler Greco,1
Daniel Espinosa,1
Bunmi Ajakaiye,1
Antoine Fuqua,1
Toshiya Shinohara,1
Toshiya Shinohara,1
Toshiya Shinohara,1
Toshiya Shinohara,1
Masahiko Murata,1
Hajime Kamegaki,1
Masahiko Murata,1
Hajime Kamegaki,1
Masahiko Murata,1
Hirotsugu Kawasaki,1
Toshiyuki Tsuru,1
Tensai Okamura,1
David Yarovesky,1
Hanns-Bruno Kammertöns,1
David A. Vargas,1
Kemi Adetiba,1
Ben Simms,1
Prakash Satam,1
Delhiprasad Deenadayalan,1
Delhiprasad Deenadayalan,1
Tomer Eshed,1
Cedric Nicolas-Troyan,1
JJC Skillz,1
Thomas Sieben,1
Marcus Clarke,1
Alice Waddington,1
Mona Achache,1
Alexis Almström,1
Raja Gosnell,1
Stephen Kijak,1
Chapman Way,1
Jason Hehir,1
Yemi Amodu,1
Lijo Jose Pellissery,1
David de Vos,1
Luis Alfaro,1
Sara Colangelo,1
Stephen Herek,1
Rahul Rawail,1
Jane Campion,1
Nagesh Kukunoor,1
Luke Holland,1
Shanker Raman,1
JP Habac,1
Jane Campion,1
Vidhu Vinod Chopra,1
Mark Rosman,1
Gilles Paquet-Brenner,1
Lasse Hallström,1
Scott Pleydell-Pearce,1
Ridley Scott,1
Neill Blomkamp,1
Phillip Noyce,1
Renny Harlin,1
Anthony Minghella,1
Simon Wincer,1
Lasse Hallström,1
Spike Lee,1
Sebastián Schindel,1
Steven C. Miller,1
Richard LaGravenese,1
Martin Campbell,1
Reginald Hudlin,1
George Jackson,1
Eric Meza,1
Gerhard Mostert,1
Michael Martin,1
Michael Rymer,1
Andrew Lau Wai-keung,1
Brett Weiner,1
Jim Henson,1
Gary Winick,1
Danishka Esterhazy,1
Troy Byer,1
Pang Ho-cheung,1
Tim Burton,1
Reginald Hudlin,1
David Zucker,1
Kinka Usher,1
Sergio Leone,1
Matthew O'Callaghan,1
Bobby Farrelly,1
Wolfgang Petersen,1
Peter Spirer,1
Michael Carney,1
Richard Linklater,1
Amy Rice,1
Antoine Fuqua,1
Randal Kleiser,1
Michael Ritchie,1
J. Lee Thompson,1
Evan Goldberg,1
Tom Shadyac,1
Peter Segal,1
Malcolm D. Lee,1
Wolfgang Petersen,1
Chapman Way,1
Ramzy Bedia,1
Sharan Koppisetty,1
Taylor Sheridan,1
Sachin Yardi,1
Saurabh Kabra,1
Mark Waters,1
Kemi Adetiba,1
Partho Mitra,1
Santram Varma,1
Anil V. Kumar,1
Sangeeth Sivan,1
Umesh Ghadge,1
Sachin Yardi,1
David Dhawan,1
Dibakar Banerjee,1
Apoorva Lakhia,1
Milan Luthria,1
Milan Luthria,1
Pawan Kripalani,1
Bhushan Patel,1
Magnus Martens,1
Apoorva Lakhia,1
Raj Nidimoru,1
Milan Luthria,1
Joshua Rofé,1
Brad Anderson,1
Mauricio Dias,1
Angel Kristi Williams,1
Roger Donaldson,1
Christopher Alender,1
